hotel_url,hotel_name,number_of_reviews
https://www.tripadvisor.com/Hotel_Review-g293926-d22974817-Reviews-Anhill_Boutique-Hue_Thua_Thien_Hue_Province.html?spAttributionToken=MzM5MTI1MDI,Anhill Boutique,Xem khi lặp Review
https://www.tripadvisor.com/Hotel_Review-g293926-d15113220-Reviews-Melia_Vinpearl_Hue-Hue_Thua_Thien_Hue_Province.html,Meliá Vinpearl Hue,Xem khi lặp Review
https://www.tripadvisor.com/Hotel_Review-g293926-d10717602-Reviews-The_Scarlett_Boutique_Hotel-Hue_Thua_Thien_Hue_Province.html,The Scarlett Boutique Hotel,Xem khi lặp Review
https://www.tripadvisor.com/Hotel_Review-g293926-d614747-Reviews-TTC_Imperial_Hotel-Hue_Thua_Thien_Hue_Province.html,TTC Imperial Hotel,Xem khi lặp Review
https://www.tripadvisor.com/Hotel_Review-g293926-d19125911-Reviews-White_Lotus_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html,White Lotus Hue Hotel,Xem khi lặp Review
https://www.tripadvisor.com/Hotel_Review-g293926-d633695-Reviews-Thanh_Lich_Royal_Boutique_Hotel-Hue_Thua_Thien_Hue_Province.html,Thanh Lich Royal Boutique Hotel,Xem khi lặp Review
https://www.tripadvisor.com/Hotel_Review-g293926-d1090179-Reviews-Indochine_Palace-Hue_Thua_Thien_Hue_Province.html,Indochine Palace,Xem khi lặp Review
https://www.tripadvisor.com/Hotel_Review-g293926-d19501676-Reviews-Senna_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html,Senna Hue Hotel,Xem khi lặp Review
https://www.tripadvisor.com/Hotel_Review-g293926-d1488735-Reviews-Muong_Thanh_Holiday_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html,Muong Thanh Holiday Hue Hotel,Xem khi lặp Review
https://www.tripadvisor.com/Hotel_Review-g293926-d15113220-Reviews-Melia_Vinpearl_Hue-Hue_Thua_Thien_Hue_Province.html#/so/21071268,Special offer,Xem khi lặp Review
https://www.tripadvisor.com/Hotel_Review-g293926-d10717679-Reviews-Hotel_La_Perle_Hue-Hue_Thua_Thien_Hue_Province.html,Hotel La Perle - Hue,Xem khi lặp Review
https://www.tripadvisor.com/Hotel_Review-g293926-d653958-Reviews-Silk_Path_Grand_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html,Silk Path Grand Hue Hotel,Xem khi lặp Review
https://www.tripadvisor.com/Hotel_Review-g293926-d299590-Reviews-Century_Riverside_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html,Century Riverside Hue Hotel,Xem khi lặp Review
https://www.tripadvisor.com/Hotel_Review-g2549590-d1792003-Reviews-Vedana_Lagoon_Resort_Spa-Phu_Loc_Phu_Loc_District_Thua_Thien_Hue_Province.html,Vedana Lagoon Resort & Spa,Xem khi lặp Review
https://www.tripadvisor.com/Hotel_Review-g293926-d3729442-Reviews-Moonlight_Hotel_Hue-Hue_Thua_Thien_Hue_Province.html,Moonlight Hotel Hue,Xem khi lặp Review
https://www.tripadvisor.com/Hotel_Review-g293926-d3334545-Reviews-Banyan_Tree_Lang_Co-Hue_Thua_Thien_Hue_Province.html,Banyan Tree Lang Co,Xem khi lặp Review
https://www.tripadvisor.com/Hotel_Review-g293926-d302838-Reviews-Hotel_Saigon_Morin-Hue_Thua_Thien_Hue_Province.html,Hotel Saigon Morin,Xem khi lặp Review
